capture_id,scene,appearance,window_state,accessibility_mode,interaction
buttons__light__active__default__hover,buttons,light,active,default,hover
buttons__light__active__default__pressed,buttons,light,active,default,pressed
buttons__light__active__default__focused,buttons,light,active,default,focused
buttons__light__active__default,buttons,light,active,default,normal
buttons__light__inactive__default,buttons,light,inactive,default,normal
buttons__light__active__reduce-transparency,buttons,light,active,reduce-transparency,normal
buttons__light__active__increase-contrast,buttons,light,active,increase-contrast,normal
buttons__dark__active__default__hover,buttons,dark,active,default,hover
buttons__dark__active__default__pressed,buttons,dark,active,default,pressed
buttons__dark__active__default__focused,buttons,dark,active,default,focused
buttons__dark__active__default,buttons,dark,active,default,normal
buttons__dark__inactive__default,buttons,dark,inactive,default,normal
buttons__dark__active__reduce-transparency,buttons,dark,active,reduce-transparency,normal
buttons__dark__active__increase-contrast,buttons,dark,active,increase-contrast,normal
toggle-slider__light__active__default__hover,toggle-slider,light,active,default,hover
toggle-slider__light__active__default__pressed,toggle-slider,light,active,default,pressed
toggle-slider__light__active__default__focused,toggle-slider,light,active,default,focused
toggle-slider__light__active__default,toggle-slider,light,active,default,normal
toggle-slider__light__inactive__default,toggle-slider,light,inactive,default,normal
toggle-slider__light__active__reduce-transparency,toggle-slider,light,active,reduce-transparency,normal
toggle-slider__dark__active__default__hover,toggle-slider,dark,active,default,hover
toggle-slider__dark__active__default__pressed,toggle-slider,dark,active,default,pressed
toggle-slider__dark__active__default__focused,toggle-slider,dark,active,default,focused
toggle-slider__dark__active__default,toggle-slider,dark,active,default,normal
toggle-slider__dark__inactive__default,toggle-slider,dark,inactive,default,normal
toggle-slider__dark__active__reduce-transparency,toggle-slider,dark,active,reduce-transparency,normal
text-input__light__active__default__hover,text-input,light,active,default,hover
text-input__light__active__default__pressed,text-input,light,active,default,pressed
text-input__light__active__default__focused,text-input,light,active,default,focused
text-input__light__active__default,text-input,light,active,default,normal
text-input__light__inactive__default,text-input,light,inactive,default,normal
text-input__light__active__reduce-transparency,text-input,light,active,reduce-transparency,normal
text-input__light__active__increase-contrast,text-input,light,active,increase-contrast,normal
text-input__dark__active__default__hover,text-input,dark,active,default,hover
text-input__dark__active__default__pressed,text-input,dark,active,default,pressed
text-input__dark__active__default__focused,text-input,dark,active,default,focused
text-input__dark__active__default,text-input,dark,active,default,normal
text-input__dark__inactive__default,text-input,dark,inactive,default,normal
text-input__dark__active__reduce-transparency,text-input,dark,active,reduce-transparency,normal
text-input__dark__active__increase-contrast,text-input,dark,active,increase-contrast,normal
pickers__light__active__default__hover,pickers,light,active,default,hover
pickers__light__active__default__pressed,pickers,light,active,default,pressed
pickers__light__active__default__focused,pickers,light,active,default,focused
pickers__light__active__default,pickers,light,active,default,normal
pickers__light__inactive__default,pickers,light,inactive,default,normal
pickers__light__active__reduce-transparency,pickers,light,active,reduce-transparency,normal
pickers__dark__active__default__hover,pickers,dark,active,default,hover
pickers__dark__active__default__pressed,pickers,dark,active,default,pressed
pickers__dark__active__default__focused,pickers,dark,active,default,focused
pickers__dark__active__default,pickers,dark,active,default,normal
pickers__dark__inactive__default,pickers,dark,inactive,default,normal
pickers__dark__active__reduce-transparency,pickers,dark,active,reduce-transparency,normal
sidebar__light__active__default,sidebar,light,active,default,normal
sidebar__light__inactive__default,sidebar,light,inactive,default,normal
sidebar__light__active__reduce-transparency,sidebar,light,active,reduce-transparency,normal
sidebar__light__active__increase-contrast,sidebar,light,active,increase-contrast,normal
sidebar__dark__active__default,sidebar,dark,active,default,normal
sidebar__dark__inactive__default,sidebar,dark,inactive,default,normal
sidebar__dark__active__reduce-transparency,sidebar,dark,active,reduce-transparency,normal
sidebar__dark__active__increase-contrast,sidebar,dark,active,increase-contrast,normal
toolbar__light__active__default,toolbar,light,active,default,normal
toolbar__light__inactive__default,toolbar,light,inactive,default,normal
toolbar__light__active__reduce-transparency,toolbar,light,active,reduce-transparency,normal
toolbar__dark__active__default,toolbar,dark,active,default,normal
toolbar__dark__inactive__default,toolbar,dark,inactive,default,normal
toolbar__dark__active__reduce-transparency,toolbar,dark,active,reduce-transparency,normal
menu-popover__light__active__default,menu-popover,light,active,default,normal
menu-popover__light__inactive__default,menu-popover,light,inactive,default,normal
menu-popover__light__active__reduce-transparency,menu-popover,light,active,reduce-transparency,normal
menu-popover__dark__active__default,menu-popover,dark,active,default,normal
menu-popover__dark__inactive__default,menu-popover,dark,inactive,default,normal
menu-popover__dark__active__reduce-transparency,menu-popover,dark,active,reduce-transparency,normal
window__light__active__default,window,light,active,default,normal
window__light__inactive__default,window,light,inactive,default,normal
window__light__active__reduce-transparency,window,light,active,reduce-transparency,normal
window__dark__active__default,window,dark,active,default,normal
window__dark__inactive__default,window,dark,inactive,default,normal
window__dark__active__reduce-transparency,window,dark,active,reduce-transparency,normal
accessibility-states__light__active__default,accessibility-states,light,active,default,normal
accessibility-states__light__inactive__default,accessibility-states,light,inactive,default,normal
accessibility-states__light__active__reduce-transparency,accessibility-states,light,active,reduce-transparency,normal
accessibility-states__dark__active__default,accessibility-states,dark,active,default,normal
accessibility-states__dark__inactive__default,accessibility-states,dark,inactive,default,normal
accessibility-states__dark__active__reduce-transparency,accessibility-states,dark,active,reduce-transparency,normal
