source_id,source_type,source_url,os_version,app,scene,appearance,state,components,measurement_priority,asset_policy,notes
TAHOE-512-001,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,Apple Account,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-002,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,Wi-Fi,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-003,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,Bluetooth,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-004,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,Network,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-005,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,Battery,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-006,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,General,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-007,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,Accessibility,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-008,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,Appearance,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-009,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,Menu Bar,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-010,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,Apple Intelligence & Siri,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-011,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,Desktop & Dock,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-012,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,Displays,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-013,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,Spotlight,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-014,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,Wallpaper,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-015,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,Notifications,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-016,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,Sound,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-017,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,Focus,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-018,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,Screen Time,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-019,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,Lock Screen,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-020,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,Privacy & Security,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-021,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,Touch ID & Password,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-022,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,Users & Groups,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-023,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,Internet Access,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-024,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,Game Center,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-025,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,iCloud,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-026,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,Wallet & Apple Pay,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-027,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,Keyboard,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-028,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,Mouse,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-029,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,Trackpad,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-030,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,System Settings,Printers & Scanners,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-031,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,macOS,Desktop,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-032,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,macOS,About This Mac,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-033,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,macOS,System Profiler,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-034,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,Finder,Stacks,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-035,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,Finder,Desktop Stacks,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-036,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,macOS,Desktop Widgets,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-037,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,macOS,Apple Menu,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-038,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,Finder,Finder Menu,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-039,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,Finder,Go Menu,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-040,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,Finder,Go to Folder,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-041,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,Finder,Connect to Server,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-042,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,Finder,Network,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-043,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,Finder,Home,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-044,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,Finder,Customize Folder,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-045,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,Finder,Gallery View,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-046,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,Finder,Quick View,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-047,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,Finder,Quick Look Markup,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-048,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,Finder,Get Info,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-049,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,Finder,Search,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-050,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,Finder,Applications,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-051,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,Finder,Applications Utilities,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-052,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,Control Center,Control Center,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-053,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,Control Center,Editing,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-054,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,macOS,App Switcher,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-055,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,macOS,Force Quit,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-056,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,Finder,Copy,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-057,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,Finder,Replace,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-058,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,Finder,Empty Trash,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-059,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,Finder,Eject Warning,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-060,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,macOS,Fast User Switching,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-061,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,macOS,Login Window,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-062,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,Spotlight,Search,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-063,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,Spotlight,Actions,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-064,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,macOS,Mission Control,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-065,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,macOS,Stage Manager,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-066,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,macOS,Notification Center,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-067,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,Siri,Siri,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-068,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,TextEdit,TextEdit,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-069,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,App Store,App Store,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
TAHOE-512-070,third-party-screenshot-library-index,https://512pixels.net/projects/aqua-screenshot-library/macos-26-tahoe/,macOS 26 Tahoe,Safari 26,Settings,unspecified-by-index,unspecified-by-index,pending-image-inspection,pending-triage,external-reference-only-do-not-redistribute,Metadata-only from public page index; inspect source image before measurement.
